,year,JD,ID,TimeDiff,AOD
2018-01-19 04:50:00,2018,019,20180190450,18.063013698630137,0.5278666666666667
2018-01-19 07:55:00,2018,019,20180190755,18.063013698630137,0.6407266666666667
2018-01-20 05:30:00,2018,020,20180200530,18.065753424657533,0.64488
2018-01-20 08:40:00,2018,020,20180200840,18.065753424657533,0.53176
2018-01-21 07:45:00,2018,021,20180210745,18.068493150684933,0.5641133333333334
2018-01-22 05:20:00,2018,022,20180220520,18.07123287671233,0.5642108843537414
2018-01-22 08:25:00,2018,022,20180220825,18.07123287671233,0.4275133333333333
2018-01-23 06:00:00,2018,023,20180230600,18.073972602739726,0.6947733333333334
2018-01-23 07:30:00,2018,023,20180230730,18.073972602739726,0.8586460176991151
2018-01-24 05:05:00,2018,024,20180240505,18.076712328767123,1.3294857142857142
2018-01-24 08:15:00,2018,024,20180240815,18.076712328767123,1.2708714285714287
2018-01-26 04:55:00,2018,026,20180260455,18.08219178082192,1.0928849557522125
2018-01-26 08:05:00,2018,026,20180260805,18.08219178082192,0.9210266666666667
2018-01-28 07:50:00,2018,028,20180280750,18.087671232876712,0.5534666666666667
2018-01-29 05:25:00,2018,029,20180290525,18.09041095890411,0.9194333333333333
2018-01-29 08:35:00,2018,029,20180290835,18.09041095890411,0.6789066666666667
2018-01-30 06:10:00,2018,030,20180300610,18.09315068493151,0.3029194630872483
2018-01-30 07:40:00,2018,030,20180300740,18.09315068493151,0.42552
2018-01-31 05:15:00,2018,031,20180310515,18.095890410958905,0.6436666666666666
2018-01-31 08:20:00,2018,031,20180310820,18.095890410958905,0.4627739726027397
2018-02-01 05:55:00,2018,032,20180320555,18.0986301369863,0.29702
2018-02-01 07:25:00,2018,032,20180320725,18.0986301369863,0.31529333333333337
2018-02-02 05:00:00,2018,033,20180330500,18.101369863013698,0.5260733333333334
2018-02-02 08:10:00,2018,033,20180330810,18.101369863013698,0.55226
2018-02-03 05:45:00,2018,034,20180340545,18.104109589041094,0.6220800000000001
2018-02-03 07:15:00,2018,034,20180340715,18.104109589041094,0.5208732394366198
2018-02-04 04:50:00,2018,035,20180350450,18.106849315068494,0.48936666666666667
2018-02-04 07:55:00,2018,035,20180350755,18.106849315068494,0.4004228187919463
2018-02-08 06:00:00,2018,039,20180390600,18.117808219178084,0.3886533333333333
2018-02-08 07:35:00,2018,039,20180390735,18.117808219178084,0.4259533333333333
2018-02-09 05:05:00,2018,040,20180400505,18.12054794520548,0.3905
2018-02-09 08:15:00,2018,040,20180400815,18.12054794520548,0.3280466666666667
2018-02-10 07:20:00,2018,041,20180410720,18.123287671232877,0.25186000000000003
2018-02-14 05:25:00,2018,045,20180450525,18.134246575342466,0.40503472222222225
2018-02-15 06:10:00,2018,046,20180460610,18.136986301369863,0.2999066666666667
2018-02-15 07:40:00,2018,046,20180460740,18.136986301369863,0.47931999999999997
2018-02-16 05:15:00,2018,047,20180470515,18.13972602739726,0.58466
2018-02-16 08:20:00,2018,047,20180470820,18.13972602739726,0.5669266666666666
2018-02-18 08:10:00,2018,049,20180490810,18.145205479452056,0.6516066666666667
2018-02-19 07:15:00,2018,050,20180500715,18.147945205479452,0.42379333333333336
2018-02-20 04:50:00,2018,051,20180510450,18.15068493150685,0.50532
2018-02-20 07:55:00,2018,051,20180510755,18.15068493150685,0.6608644067796611
2018-02-21 05:30:00,2018,052,20180520530,18.153424657534245,0.6840758620689655
2018-02-21 08:40:00,2018,052,20180520840,18.153424657534245,0.38010000000000005
2018-02-22 07:45:00,2018,053,20180530745,18.156164383561645,0.6413018867924528
2018-02-23 05:20:00,2018,054,20180540520,18.15890410958904,0.6925733333333334
2018-02-24 06:00:00,2018,055,20180550600,18.161643835616438,0.6591846153846155
2018-02-24 07:35:00,2018,055,20180550735,18.161643835616438,0.9340608695652175
2018-02-26 05:50:00,2018,057,20180570550,18.167123287671235,0.254751677852349
2018-02-26 07:20:00,2018,057,20180570720,18.167123287671235,0.21462666666666666
2018-02-27 04:55:00,2018,058,20180580455,18.16986301369863,0.4146212121212121
2018-02-27 08:05:00,2018,058,20180580805,18.16986301369863,0.5025044247787611
2018-02-28 05:40:00,2018,059,20180590540,18.172602739726027,0.6504
2018-03-01 07:50:00,2018,060,20180600750,18.175342465753424,0.5500466666666666
2018-03-02 05:25:00,2018,061,20180610525,18.17808219178082,0.8004466666666668
2018-03-02 08:35:00,2018,061,20180610835,18.17808219178082,0.43218
2018-03-03 06:10:00,2018,062,20180620610,18.18082191780822,0.32192000000000004
2018-03-03 07:40:00,2018,062,20180620740,18.18082191780822,0.47214666666666666
2018-03-04 05:15:00,2018,063,20180630515,18.183561643835617,0.5392466666666667
2018-03-05 05:55:00,2018,064,20180640555,18.186301369863013,0.5346496350364963
2018-03-06 05:00:00,2018,065,20180650500,18.18904109589041,0.29772000000000004
2018-03-06 08:10:00,2018,065,20180650810,18.18904109589041,0.33156756756756756
2018-03-07 05:45:00,2018,066,20180660545,18.19178082191781,0.27416312056737585
2018-03-07 07:15:00,2018,066,20180660715,18.19178082191781,0.18008666666666667
2018-03-08 04:50:00,2018,067,20180670450,18.194520547945206,0.4585968992248062
2018-03-08 07:55:00,2018,067,20180670755,18.194520547945206,0.4426071428571428
2018-03-09 05:30:00,2018,068,20180680530,18.197260273972603,0.43810135135135136
2018-03-09 08:40:00,2018,068,20180680840,18.197260273972603,0.23172
2018-03-10 07:45:00,2018,069,20180690745,18.2,0.4485793103448276
2018-03-11 05:20:00,2018,070,20180700520,18.202739726027396,0.5420559440559441
2018-03-11 08:30:00,2018,070,20180700830,18.202739726027396,0.28945333333333334
2018-03-12 06:00:00,2018,071,20180710600,18.205479452054796,0.3116933333333333
2018-03-12 07:35:00,2018,071,20180710735,18.205479452054796,0.38866
2018-03-13 05:05:00,2018,072,20180720505,18.208219178082192,0.4369666666666666
2018-03-13 08:15:00,2018,072,20180720815,18.208219178082192,0.35517333333333334
2018-03-14 05:50:00,2018,073,20180730550,18.21095890410959,0.6706133333333334
2018-03-14 07:20:00,2018,073,20180730720,18.21095890410959,0.721
2018-03-15 08:05:00,2018,074,20180740805,18.213698630136985,0.6394565217391304
2018-03-16 05:40:00,2018,075,20180750540,18.216438356164385,0.5978993288590604
2018-03-17 04:40:00,2018,076,20180760440,18.21917808219178,0.34302666666666665
2018-03-17 07:50:00,2018,076,20180760750,18.21917808219178,0.4800469798657718
2018-03-18 05:25:00,2018,077,20180770525,18.221917808219178,0.3958
2018-03-18 08:35:00,2018,077,20180770835,18.221917808219178,0.17915999999999999
2018-03-19 06:10:00,2018,078,20180780610,18.224657534246575,0.3363066666666667
2018-03-19 07:40:00,2018,078,20180780740,18.224657534246575,0.46405660377358493
2018-03-20 05:15:00,2018,079,20180790515,18.22739726027397,0.5725800000000001
2018-03-20 08:20:00,2018,079,20180790820,18.22739726027397,0.46988
2018-03-22 05:00:00,2018,081,20180810500,18.232876712328768,0.6241666666666666
2018-03-23 07:15:00,2018,082,20180820715,18.235616438356164,0.4786620689655172
2018-03-24 04:50:00,2018,083,20180830450,18.23835616438356,0.41119333333333336
2018-03-24 07:55:00,2018,083,20180830755,18.23835616438356,0.42825
2018-03-25 05:30:00,2018,084,20180840530,18.24109589041096,0.3976783216783217
2018-03-25 08:40:00,2018,084,20180840840,18.24109589041096,0.26352
2018-03-26 07:45:00,2018,085,20180850745,18.243835616438357,0.5211653543307087
2018-03-27 05:20:00,2018,086,20180860520,18.246575342465754,0.6283383458646616
2018-03-27 08:30:00,2018,086,20180860830,18.246575342465754,0.4334166666666667
2018-03-28 06:05:00,2018,087,20180870605,18.24931506849315,0.3873093525179856
2018-03-28 07:35:00,2018,087,20180870735,18.24931506849315,0.44344666666666666
2018-03-29 05:10:00,2018,088,20180880510,18.252054794520546,0.36513194444444447
2018-03-29 08:15:00,2018,088,20180880815,18.252054794520546,0.28406756756756757
2018-03-30 05:50:00,2018,089,20180890550,18.254794520547946,0.43
2018-03-30 07:20:00,2018,089,20180890720,18.254794520547946,0.467032
2018-03-31 04:55:00,2018,090,20180900455,18.257534246575343,0.5434466666666667
2018-03-31 08:05:00,2018,090,20180900805,18.257534246575343,0.5847203389830509
2018-04-01 05:40:00,2018,091,20180910540,18.26027397260274,0.9266132075471698
2018-04-02 04:40:00,2018,092,20180920440,18.263013698630136,0.6376266666666667
2018-04-03 05:25:00,2018,093,20180930525,18.265753424657536,0.7893230769230769
2018-04-03 08:35:00,2018,093,20180930835,18.265753424657536,0.5222266666666667
2018-04-05 05:15:00,2018,095,20180950515,18.27123287671233,0.7434751773049645
2018-04-05 08:20:00,2018,095,20180950820,18.27123287671233,0.5839078014184397
2018-04-07 05:00:00,2018,097,20180970500,18.276712328767122,0.8166875
2018-04-09 04:50:00,2018,099,20180990450,18.28219178082192,0.6851063829787234
2018-04-10 05:30:00,2018,100,20181000530,18.284931506849315,0.6778273381294964
2018-04-10 08:40:00,2018,100,20181000840,18.284931506849315,0.4220466666666667
2018-04-14 05:10:00,2018,104,20181040510,18.295890410958904,0.49040845070422534
2018-04-14 08:15:00,2018,104,20181040815,18.295890410958904,0.3596666666666667
2018-04-16 04:55:00,2018,106,20181060455,18.301369863013697,0.663130081300813
2018-04-18 04:45:00,2018,108,20181080445,18.306849315068494,0.52108
2018-04-18 07:50:00,2018,108,20181080750,18.306849315068494,0.6091567164179105
2018-04-19 05:25:00,2018,109,20181090525,18.30958904109589,0.8805599999999999
2018-04-20 07:40:00,2018,110,20181100740,18.312328767123287,0.7363066666666667
2018-04-21 05:15:00,2018,111,20181110515,18.315068493150687,0.9820666666666668
2018-04-21 08:20:00,2018,111,20181110820,18.315068493150687,0.7139866666666667
2018-04-22 05:55:00,2018,112,20181120555,18.317808219178083,0.26837037037037037
2018-04-22 07:25:00,2018,112,20181120725,18.317808219178083,0.3118455882352941
2018-04-23 05:00:00,2018,113,20181130500,18.32054794520548,0.4246641791044776
2018-04-23 08:10:00,2018,113,20181130810,18.32054794520548,0.4191880341880342
2018-04-24 07:15:00,2018,114,20181140715,18.323287671232876,0.44472727272727275
2018-04-25 04:50:00,2018,115,20181150450,18.326027397260273,0.48699300699300696
2018-04-25 07:55:00,2018,115,20181150755,18.326027397260273,0.6239066666666666
2018-04-26 05:35:00,2018,116,20181160535,18.328767123287673,0.80138
2018-04-28 05:20:00,2018,118,20181180520,18.334246575342465,0.9731466666666666
2018-04-30 08:15:00,2018,120,20181200815,18.339726027397262,0.5037692307692307
2018-05-02 04:55:00,2018,122,20181220455,18.345205479452055,0.8807446808510637
2018-05-02 08:05:00,2018,122,20181220805,18.345205479452055,0.89622
2018-05-04 07:50:00,2018,124,20181240750,18.350684931506848,0.8061293103448276
2018-05-05 05:25:00,2018,125,20181250525,18.353424657534248,0.9575733333333334
2018-05-05 08:35:00,2018,125,20181250835,18.353424657534248,0.7710583333333333
2018-05-07 05:15:00,2018,127,20181270515,18.35890410958904,0.7436466666666667
2018-05-09 05:00:00,2018,129,20181290500,18.364383561643837,0.7202765957446808
2018-05-09 08:10:00,2018,129,20181290810,18.364383561643837,0.9061205673758865
2018-05-10 07:15:00,2018,130,20181300715,18.367123287671234,0.4212595419847328
2018-05-11 04:50:00,2018,131,20181310450,18.36986301369863,0.8999328859060403
2018-05-11 07:55:00,2018,131,20181310755,18.36986301369863,0.97556
2018-05-12 05:35:00,2018,132,20181320535,18.372602739726027,0.9208
2018-05-12 08:40:00,2018,132,20181320840,18.372602739726027,0.7100227272727273
2018-05-13 07:45:00,2018,133,20181330745,18.375342465753423,0.9599504132231405
2018-05-14 05:20:00,2018,134,20181340520,18.378082191780823,1.0745733333333332
